FEATURES_TXT_BEGIN_0 0 33 14 LexicalReordering0_0 LexicalReordering0_1 LexicalReordering0_2 LexicalReordering0_3 LexicalReordering0_4 LexicalReordering0_5 Distortion0_0 LM0_0 WordPenalty0_0 PhrasePenalty0_0 TranslationModel0_0 TranslationModel0_1 TranslationModel0_2 TranslationModel0_3 
-1.04576 0 0 -0.572392 0 0 0 -23.6905 -11 5 -8.52059 -14.365 -8.06084 -10.7222 
-0.112796 -5.90536 -0.658391 -0.0117649 -3.04452 -5.90536 -12 -25.6693 -12 4 -6.58007 -10.718 -4.50367 -8.64377 
-0.112796 -4.82831 -0.659285 -0.0126588 -3.04452 -0.0161294 -12 -27.7368 -12 4 -7.50595 -10.8976 -5.67092 -8.75668 
-0.112796 -4.82831 -0.658391 -0.0117649 -3.04452 -0.0161294 -12 -27.6861 -12 4 -7.67185 -10.8857 -5.59681 -8.64748 
-0.112796 -1.01121 -0.48651 -0.0126588 -0.758975 -0.71897 -12 -33.2109 -12 6 -4.59178 -10.0456 -0.872189 -6.37941 
-3.6093 0 -1.39935 -1.82367 0 -0.8822 -16 -30.9755 -14 6 -3.65472 -9.02783 -4.37495 -9.83214 
-3.6093 0 -1.39846 -1.82277 0 -0.8822 -16 -30.9643 -14 6 -3.82062 -9.01595 -4.30084 -9.72294 
-1.15546 0 0 -0.933404 0 0 0 -23.4128 -11 5 -9.4447 -14.1325 -8.97713 -10.3328 
-0.449268 -0.305754 -0.0404381 -0.0126588 -0.0277793 -2.12466 -6 -25.9616 -12 5 -6.74771 -15.9053 -7.54946 -13.6064 
-5.96787 0 -1.39935 -1.82367 0 -0.790398 -16 -32.3419 -13 6 -2.99548 -9.02783 -1.92971 -8.05508 
-5.96787 0 -1.39846 -1.82277 0 -0.790398 -16 -32.3307 -13 6 -3.16137 -9.01595 -1.8556 -7.94589 
-1.22377 -4.47213 -0.694255 -0.465363 -3.77572 -0.540224 -14 -29.5989 -15 5 -5.60919 -9.66166 -6.42423 -12.2382 
FEATURES_TXT_END_0
FEATURES_TXT_BEGIN_0 1 65 14 LexicalReordering0_0 LexicalReordering0_1 LexicalReordering0_2 LexicalReordering0_3 LexicalReordering0_4 LexicalReordering0_5 Distortion0_0 LM0_0 WordPenalty0_0 PhrasePenalty0_0 TranslationModel0_0 TranslationModel0_1 TranslationModel0_2 TranslationModel0_3 
-0.822062 0 0 -0.135342 0 0 0 -9.65788 -10 3 -1.12421 -4.91304 -0.119436 -3.59392 
-0.324381 0 0 -0.0222231 0 0 0 -7.83466 -8 2 -2.64883 -7.21711 -0.336472 -3.03174 
-0.560528 0 0 -0.135342 0 0 0 -8.8517 -10 3 -2.53387 -7.28806 -1.62935 -6.11213 
-0.669005 0 0 -0.147386 0 0 0 -11.2357 -11 3 -1.32332 -4.91304 -1.86241 -6.35642 
-0.407471 0 0 -0.147386 0 0 0 -10.4295 -11 3 -2.73297 -7.28806 -3.37232 -8.87464 
-0.509059 0 0 -0.0944389 0 0 0 -13.6399 -12 3 -2.31784 -7.28805 -4.21321 -10.4818 
-0.509059 0 0 -0.0944389 0 0 0 -13.6398 -12 3 -2.49742 -7.28805 -4.21321 -10.0489 
-0.975481 0 0 -0.0698516 0 0 0 -9.25327 -8 3 -6.77853 -9.59213 -3.3308 -5.54995 
-0.776148 0 0 -0.153279 0 0 0 -14.4461 -12 4 -2.35896 -4.91304 -4.55539 -7.96358 
-1.64718 0 0 -1.28928 0 0 0 -14.446 -12 4 -1.37022 -4.91304 -4.78445 -7.53072 
-0.433762 -0.0136984 -0.787236 -0.0101786 -0.0476284 -0.670055 -10 -10.0559 -9 5 -6.98024 -9.59213 -6.96041 -8.31246 
-0.360594 0 0 -0.182566 0 0 0 -16.4956 -13 3 -2.51694 -7.28806 -6.56768 -13.2443 
-0.360594 0 0 -0.182566 0 0 0 -16.4955 -13 3 -2.69653 -7.28806 -6.56768 -12.8114 
-0.627683 0 0 -0.241406 0 0 0 -17.3017 -13 4 -2.55806 -4.91304 -6.90986 -10.7261 
-0.567035 0 0 -0.182566 0 0 0 -16.2247 -9 3 -4.30271 -7.21711 -3.79509 -5.79424 
-1.49872 0 0 -1.37741 0 0 0 -17.3016 -13 4 -1.56932 -4.91304 -7.13892 -10.2932 
-0.499661 0 0 -0.0324018 0 0 0 -20.3464 -7 3 -2.44973 -6.6172 -2.44944 -2.16326 
-1.05413 0 0 -0.0944389 0 0 0 -21.4621 -11 3 -1.94991 -7.28805 -3.40228 -8.27188 
-0.87613 0 0 -0.388201 0 0 0 -22.1696 -9 4 -1.19806 -4.31313 -2.96411 -2.72544 
