FEATURES_TXT_BEGIN_0 0 54 12 LexicalReordering0_0 LexicalReordering0_1 LexicalReordering0_2 LexicalReordering0_3 Distortion0_0 LM0_0 WordPenalty0_0 PhrasePenalty0_0 TranslationModel0_0 TranslationModel0_1 TranslationModel0_2 TranslationModel0_3 
-0.512563 0 -0.0757117 0 0 -22.6411 -13 3 -6.63611 -4.91304 -9.69382 -9.5587 
-0.295846 -2.0582 0 -0.530904 -4 -25.3954 -12 4 -1.16742 -4.91304 -7.47443 -7.58913 
-1.47141 0 -0.0757117 0 0 -27.0674 -14 3 -2.17719 -7.28806 -6.83162 -14.2367 
-1.61117 0 -0.0757117 0 0 -27.0675 -14 3 -2.19723 -7.28806 -7.12887 -14.6695 
-0.295846 -4.56621 0 -0.585517 -10 -20.9259 -9 4 -4.93348 -7.21711 -6.29322 -7.09765 
-0.562836 -0.73329 -0.87401 -0.545869 -6 -22.8214 -10 5 -5.00877 -5.98122 -4.31914 -6.07348 
-0.626351 0 -0.373388 0 0 -26.1517 -11 4 -2.53208 -6.68814 -6.33785 -9.61332 
-0.295846 -0.723682 0 -0.530904 -4 -24.5892 -12 4 -2.75796 -7.28806 -8.43338 -10.1073 
-0.182322 -1.12071 0 -2.98776 -6 -23.674 -11 4 -3.78552 -7.28806 -4.57864 -8.0817 
-1.1659 -1.86255 -0.731772 -2.45777 -8 -25.4382 -10 5 -1.74549 -4.91304 -0.297248 -3.59392 
-0.626351 0 -0.373388 0 0 -26.1516 -11 4 -2.71166 -6.68814 -6.33785 -9.18046 
-1.11242 0 -0.0429144 0 0 -21.765 -7 4 -6.57943 -8.99222 -5.44376 -4.68147 
-0.89334 0 -0.403241 0 0 -26.9579 -11 5 -2.5732 -4.31313 -6.68003 -7.09511 
-0.89334 0 -0.403241 0 0 -26.9578 -11 5 -2.92257 -4.31313 -6.68003 -6.66224 
-4.4865 0 -3.89674 0 0 -22.3512 -8 3 -5.0231 -7.21711 -0.119436 -3.03174 
-0.562489 0 -0.113004 0 0 -28.8526 -12 3 -2.31784 -7.37067 -6.69811 -12.6448 
-0.265703 -2.33539 0 -6.36467 -8 -23.1575 -9 4 -4.55754 -6.14893 -1.42603 -3.31468 
-0.562489 0 -0.113004 0 0 -28.8525 -12 3 -2.49742 -7.37067 -6.69811 -12.2119 
-5.03246 0 -0.212175 0 0 -25.0454 -14 3 -4.96212 -7.28806 -8.88904 -13.6841 
-5.15733 0 -0.0352713 0 0 -22.7428 -9 3 -6.98633 -9.59213 -5.17827 -7.51952 
-5.35935 0 -0.0721817 0 0 -26.7704 -11 3 -3.56237 -7.28806 -4.48512 -8.0817 
-5.03246 0 -0.212175 0 0 -25.0453 -14 3 -5.31149 -7.28806 -8.88904 -13.2512 
-0.182322 -2.56406 0 -2.98776 -6 -28.6131 -10 4 -1.34737 -4.91304 -0.212956 -3.59392 
-6.59768 0 -0.205614 0 0 -23.5542 -11 4 -5.63291 -6.14893 -9.38341 -9.2088 
FEATURES_TXT_END_0
FEATURES_TXT_BEGIN_0 2 100 12 LexicalReordering0_0 LexicalReordering0_1 LexicalReordering0_2 LexicalReordering0_3 Distortion0_0 LM0_0 WordPenalty0_0 PhrasePenalty0_0 TranslationModel0_0 TranslationModel0_1 TranslationModel0_2 TranslationModel0_3 
-0.830931 0 -0.290418 0 0 -23.6552 -9 3 -4.49296 -6.08726 -3.46256 -4.79576 
0 -0.0890632 0 -0.180413 -12 -26.4967 -10 4 -2.24048 -5.01908 -1.09706 -5.0787 
-0.524033 0 -0.136267 0 0 -22.7879 -11 3 -7.43171 -6.08726 -3.99453 -9.16542 
-0.0512933 -0.00848283 -0.00643063 -0.180413 -12 -25.6294 -12 5 -4.03015 -5.01908 -2.24387 -9.44837 
-0.227618 0 -0.185058 0 0 -22.8302 -11 3 -7.64359 -6.08726 -4.06673 -8.73256 
-0.0425599 -0.010283 -0.00823079 -0.180413 -12 -25.6718 -12 5 -4.08699 -5.01908 -2.31607 -9.0155 
0 -0.0940048 0 -0.185355 -12 -26.2851 -10 4 -3.47025 -6.01181 -2.56738 -6.96537 
-0.014389 -1.1255 -0.00643063 -1.69271 -24 -21.6684 -11 7 -4.40546 -5.01908 -7.126 -8.21567 
