SCORES_TXT_BEGIN_0 0 47 9 BLEU
9 11 7 10 5 9 3 8 11 
10 11 8 10 7 9 6 8 11 
10 11 6 10 4 9 2 8 11 
11 11 8 10 6 9 4 8 11 
11 13 8 12 6 11 4 10 11 
9 13 7 12 5 11 3 10 11 
10 11 7 10 5 9 3 8 11 
10 11 8 10 6 9 4 8 11 
11 11 7 10 4 9 2 8 11 
10 15 7 14 5 13 3 12 11 
9 11 7 10 5 9 3 8 11 
10 15 7 14 5 13 3 12 11 
10 11 7 10 5 9 3 8 11 
10 11 7 10 5 9 3 8 11 
10 11 6 10 4 9 2 8 11 
10 11 6 10 4 9 2 8 11 
10 11 6 10 4 9 2 8 11 
10 13 7 12 5 11 3 10 11 
10 11 6 10 4 9 2 8 11 
9 13 7 12 5 11 3 10 11 
10 13 7 12 5 11 3 10 11 
11 11 8 10 5 9 3 8 11 
10 13 7 12 5 11 3 10 11 
11 11 8 10 6 9 4 8 11 
9 15 7 14 5 13 3 12 11 
10 13 8 12 6 11 4 10 11 
11 12 7 11 5 10 3 9 11 
11 11 7 10 3 9 1 8 11 
11 11 8 10 6 9 4 8 11 
10 14 7 13 5 12 3 11 11 
10 11 7 10 5 9 3 8 11 
11 11 7 10 5 9 3 8 11 
10 14 7 13 5 12 3 11 11 
SCORES_TXT_END_0
SCORES_TXT_BEGIN_0 4 23 9 BLEU
11 11 10 10 9 9 8 8 11 
10 15 9 14 8 13 7 12 11 
10 15 9 14 8 13 7 12 11 
11 15 9 14 8 13 7 12 11 
11 15 9 14 8 13 7 12 11 
10 11 9 10 8 9 7 8 11 
11 13 9 12 8 11 7 10 11 
10 11 8 10 6 9 5 8 11 
10 11 8 10 6 9 5 8 11 
10 13 9 12 8 11 7 10 11 
9 15 7 14 6 13 5 12 11 
9 15 7 14 6 13 5 12 11 
9 15 7 14 6 13 5 12 11 
9 15 7 14 6 13 5 12 11 
11 12 9 11 8 10 7 9 11 
10 15 7 14 6 13 5 12 11 
10 15 7 14 6 13 5 12 11 
10 15 7 14 6 13 5 12 11 
10 15 7 14 6 13 5 12 11 
11 13 9 12 8 11 7 10 11 
11 13 9 12 8 11 7 10 11 
10 13 7 12 6 11 5 10 11 
10 13 7 12 6 11 5 10 11 
SCORES_TXT_END_0
SCORES_TXT_BEGIN_0 5 100 9 BLEU
6 6 5 5 4 4 3 3 6 
5 10 4 9 3 8 2 7 6 
5 10 4 9 3 8 2 7 6 
5 6 4 5 3 4 2 3 6 
6 8 4 7 3 6 2 5 6 
6 7 5 6 4 5 3 4 6 
5 8 4 7 3 6 2 5 6 
5 9 4 8 3 7 2 6 6 
5 9 4 8 3 7 2 6 6 
6 8 5 7 4 6 3 5 6 
6 7 4 6 3 5 2 4 6 
6 8 5 7 4 6 3 5 6 
6 6 2 5 0 4 0 3 6 
6 7 4 6 2 5 1 4 6 
5 7 4 6 3 5 2 4 6 
6 7 5 6 4 5 3 4 6 
5 6 3 5 1 4 0 3 6 
6 8 5 7 4 6 3 5 6 
5 11 4 10 3 9 2 8 6 
5 11 4 10 3 9 2 8 6 
6 7 4 6 2 5 1 4 6 
6 7 4 6 2 5 1 4 6 
6 7 4 6 2 5 0 4 6 
6 7 4 6 2 5 0 4 6 
5 6 2 5 0 4 0 3 6 
6 8 4 7 2 6 1 5 6 
6 7 5 6 4 5 3 4 6 
5 8 2 7 0 6 0 5 6 
6 6 2 5 1 4 0 3 6 
5 6 2 5 1 4 0 3 6 
6 9 5 8 4 7 3 6 6 
6 6 2 5 0 4 0 3 6 
6 7 4 6 2 5 1 4 6 
5 7 4 6 3 5 2 4 6 
5 12 4 11 3 10 2 9 6 
6 6 3 5 1 4 0 3 6 
5 12 4 11 3 10 2 9 6 
