"BehaviorSpace results (NetLogo 6.0.4)"
"main.nlogo"
"experiment"
"01/28/2023 15:05:05:459 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","1","2","3","4","5"
,"8","24","17","1","10"
,"8","24","17","1","10"
,"8","24","17","1","10"
,"8","24","17","1","10"
,"8","24","17","1","10"
,"8","24","17","1","10"
,"8","24","17","1","10"
,"8","24","17","1","10"
,"8","24","17","1","10"
,"8","24","17","1","10"
,"8","24","17","1","10"
,"8","24","17","1","10"
,"8","24","17","1","10"
,"8","24","17","1","10"
,"8","24","17","1","10"
,"8","24","17","1","10"
,"8","24","17","1","10"
,"8","24","17","1","10"
,"8","24","17","1","10"
,"8","24","17","1","10"
,"8","24","17","1","10"
,"8","24","17","1","10"
,"8","24","17","1","10"
,"8","24","17","1","10"
,"8","24","17","1","10"
,"8","24","17","1","10"
,"8","24","17","1","10"
,"8","25","17","1","10"
,"8","25","17","1","10"
,"8","25","17","1","10"
,"8","27","17","1","10"
,"8","27","17","1","12"
,"8","27","17","1","12"
,"8","27","17","1","12"
,"8","27","17","1","12"
,"8","27","17",,"12"
,"8","27","17",,"12"
,"8","27","17",,"12"
,"8","27","17",,"12"
,"8","27","17",,"12"
,"8","27","17",,"12"
,"8","27","17",,"12"
,"8","27","17",,"12"
,"8","27","17",,"12"
,"8","27","17",,"12"
,"8","27","17",,"12"
,"8","27","17",,"12"
,"8","27","17",,"12"
,"8","27","17",,"12"
,"8","27","17",,"12"
,"8","27","17",,"12"
,"8","27","17",,"12"
,"8","27","17",,"12"
,"8","27","17",,"12"
,"8","27","17",,"12"
,"8","27","17",,"12"
,"8","27","17",,"12"
,"8","27","17",,"12"
,"8","27","17",,"12"
,"8","27","17",,"12"
,"8","27","17",,"12"
,"8","27","17",,"12"
,"8","27","17",,"12"
,"8","27","17",,"12"
,"8","27","17",,"12"
,"8","27","17",,"12"
,"8","27","17",,"12"
,"8","27","17",,"12"
,"8","27","17",,"12"
,"8","28","17",,"12"
,"8","28","17",,"12"
,"8","28","17",,"12"
,"8","28","17",,"12"
,"8","28","17",,"12"
,"8","28","17",,"12"
,"8","28","17",,"12"
,"8","28","17",,"12"
,"8","28","17",,"12"
,"8","28","17",,"12"
,"8","29","17",,"12"
,"8","29","17",,"12"
,"8","29","17",,"12"
,"8","29","17",,"12"
,"8","29","17",,"12"
,"8","29","17",,"12"
,"8","29","17",,"12"
,"8","29","17",,"12"
,"8","29","17",,"12"
,"8","29","17",,"12"
,"8","29","17",,"12"
,"8","29","17",,"12"
,"8","29","17",,"12"
,"8","29","17",,"12"
,"8","29","17",,"12"
,"8","29","17",,"12"
,"8","29","17",,"13"
,"8","29","17",,"13"
,"8","29","17",,"13"
,"8","29","17",,"13"
,"8","29","17",,"13"
,"8","29","17",,"13"
,"8","29","17",,"13"
,"8","29","17",,"13"
,"8","29","17",,"13"
,"8","29","17",,"13"
,"8","29","17",,"13"
,"8","29","17",,"13"
,"8","29","17",,"13"
,"8","29","17",,"13"
,"8","29","17",,"13"
,"8","29","17",,"13"
,"8","29","17",,"13"
,"8","29","17",,"13"
,"8","29","17",,"13"
,"8","29","17",,"13"
,"8","29","17",,"13"
,"8","29","17",,"13"
,"8","29","17",,"13"
,"8","29","17",,"13"
,"8","29","17",,"13"
,"8","29","17",,"13"
,"8","30","17",,"13"
,"8","30","17",,"13"
,"8","30","17",,"13"
,"8","30","17",,"13"
,"8","30","17",,"14"
,"8","30","17",,"14"
,"8","30","17",,"14"
,"8","30","17",,"14"
,"8","30","17",,"14"
,"8","30","17",,"14"
,"8","30","17",,"14"
,"8","30","17",,"14"
,"8","30","17",,"14"
,"8","30","17",,"14"
,"8","30","17",,"14"
,"8","30","17",,"14"
,"8","30","17",,"14"
,"8","30","17",,"14"
,"8","30","17",,"14"
,"8","30","17",,"14"
,"8","30","17",,"14"
,"8","30","17",,"14"
,"8","30","17",,"14"
,"8","30","17",,"14"
,"8","30","17",,"14"
,"8","30","17",,"14"
,"8","30","17",,"14"
,"8","30","17",,"14"
,"8","30","17",,"14"
,"8","30","17",,"14"
,"8","30","17",,"14"
,"8","30","17",,"14"
,"8","30",,,"14"
,"8","30",,,"14"
,"8","30",,,"14"
,"8","30",,,"14"
,"8","30",,,"14"
,"8","30",,,"14"
,"8","30",,,"14"
,"8","30",,,"14"
,"8","30",,,"14"
,"8","30",,,"14"
,"8","30",,,"14"
,,"31",,,"14"
,,"31",,,"14"
,,"31",,,"14"
,,"31",,,"14"
,,"31",,,"14"
,,"33",,,"14"
,,"33",,,"14"
,,"33",,,"14"
,,"33",,,"14"
,,"33",,,"14"
,,"33",,,"14"
,,"33",,,"14"
,,"33",,,"14"
,,"33",,,"14"
,,"33",,,"14"
,,"33",,,"14"
,,"33",,,"14"
,,"33",,,"14"
,,"33",,,"14"
,,"33",,,"14"
,,"33",,,"14"
,,"34",,,"14"
,,"34",,,"14"
,,"35",,,"14"
,,"35",,,"14"
,,"35",,,"14"
,,"35",,,"14"
,,"36",,,"14"
,,"36",,,"14"
,,"36",,,"14"
,,"36",,,"14"
,,"36",,,"14"
,,"36",,,"14"
,,"36",,,"14"
,,"36",,,"14"
,,"36",,,"14"
,,"36",,,"14"
,,"36",,,"14"
,,"36",,,"14"
,,"36",,,"14"
,,"36",,,"14"
,,"37",,,"14"
,,"37",,,"14"
,,"37",,,"14"
,,"37",,,"14"
,,"37",,,"14"
,,"37",,,"14"
,,"37",,,"14"
,,"37",,,"14"
,,"37",,,"14"
,,"37",,,"14"
,,"37",,,"14"
,,"37",,,"14"
,,"37",,,"14"
,,"38",,,"14"
,,,,,"14"
,,,,,"14"
,,,,,"14"
,,,,,"14"
,,,,,"14"
,,,,,"14"
,,,,,"14"
,,,,,"14"
,,,,,"14"
,,,,,"14"
,,,,,"15"
,,,,,"15"
,,,,,"15"
,,,,,"15"
,,,,,"15"
,,,,,"15"
,,,,,"15"
,,,,,"15"
,,,,,"15"
,,,,,"15"
,,,,,"15"
,,,,,"15"
,,,,,"15"
,,,,,"15"
,,,,,"15"
,,,,,"15"
,,,,,"15"
,,,,,"15"
,,,,,"15"
,,,,,"15"
,,,,,"15"
,,,,,"15"
,,,,,"15"
,,,,,"15"
,,,,,"15"
,,,,,"15"
,,,,,"15"
,,,,,"15"
,,,,,"15"
,,,,,"15"
,,,,,"15"
,,,,,"15"
,,,,,"15"
,,,,,"15"
,,,,,"15"
,,,,,"15"
,,,,,"15"
,,,,,"15"
,,,,,"15"
,,,,,"15"
,,,,,"15"
,,,,,"15"
,,,,,"15"
,,,,,"15"
,,,,,"15"
,,,,,"15"
,,,,,"15"
,,,,,"15"
,,,,,"15"
,,,,,"15"
,,,,,"15"
,,,,,"15"
,,,,,"15"
,,,,,"15"
,,,,,"15"
,,,,,"15"
,,,,,"15"
,,,,,"15"
,,,,,"15"
,,,,,"15"
,,,,,"15"
,,,,,"15"
,,,,,"15"
,,,,,"15"
,,,,,"15"
,,,,,"15"
,,,,,"15"
,,,,,"15"
,,,,,"15"
,,,,,"15"
,,,,,"15"
,,,,,"16"
,,,,,"17"
,,,,,"17"
,,,,,"18"
,,,,,"18"
,,,,,"18"
,,,,,"18"
,,,,,"18"
,,,,,"18"
,,,,,"18"
,,,,,"18"
,,,,,"18"
,,,,,"18"
,,,,,"18"
,,,,,"18"
,,,,,"18"
,,,,,"18"
,,,,,"18"
,,,,,"18"
,,,,,"18"
,,,,,"18"
,,,,,"18"
,,,,,"18"
,,,,,"18"
,,,,,"18"
,,,,,"18"
,,,,,"18"
,,,,,"18"
,,,,,"18"
,,,,,"18"
,,,,,"18"
,,,,,"18"
,,,,,"18"
,,,,,"19"
,,,,,"19"
,,,,,"19"
,,,,,"19"
,,,,,"19"
,,,,,"19"
,,,,,"19"
,,,,,"19"
,,,,,"19"
,,,,,"19"
,,,,,"19"
,,,,,"19"
,,,,,"19"
,,,,,"19"
,,,,,"19"
,,,,,"19"
,,,,,"19"
,,,,,"19"
,,,,,"19"
,,,,,"19"
,,,,,"19"
,,,,,"19"
,,,,,"19"
,,,,,"19"
,,,,,"19"
,,,,,"19"
,,,,,"19"
,,,,,"19"
,,,,,"19"
,,,,,"19"
,,,,,"19"
,,,,,"19"
,,,,,"19"
,,,,,"19"
,,,,,"19"
,,,,,"19"
,,,,,"19"
,,,,,"19"
,,,,,"19"
,,,,,"19"
,,,,,"19"
,,,,,"19"
,,,,,"19"
,,,,,"19"
,,,,,"19"
,,,,,"19"
,,,,,"19"
,,,,,"19"
,,,,,"19"
,,,,,"19"
,,,,,"19"
,,,,,"19"
,,,,,"19"
,,,,,"19"
,,,,,"19"
,,,,,"19"
,,,,,"19"
,,,,,"19"
,,,,,"19"
,,,,,"19"
,,,,,"19"
,,,,,"19"
,,,,,"19"
,,,,,"19"
,,,,,"19"
,,,,,"19"
,,,,,"19"
,,,,,"19"
,,,,,"19"
,,,,,"19"
,,,,,"19"
,,,,,"19"
,,,,,"19"
,,,,,"19"
,,,,,"19"
,,,,,"19"
,,,,,"19"
,,,,,"19"
,,,,,"19"
,,,,,"19"
,,,,,"19"
"72","0"
"3","55","1","50","2","3","80","3"
"2","55","1","50","2","3","80","2"
"1","55","1","50","2","3","73","0"
"2","55","1","50","2","3","81","2"
"3","55","1","50","2","3","81","4"
"1","55","1","50","2","3","74","0"
"3","55","1","50","2","3","82","4"
"2","55","1","50","2","3","82","2"
"2","55","1","50","2","3","83","2"
"3","55","1","50","2","3","83","4"
"1","55","1","50","2","3","75","0"
"3","55","1","50","2","3","84","4"
"2","55","1","50","2","3","84","2"
"1","55","1","50","2","3","76","0"
"3","55","1","50","2","3","85","4"
"2","55","1","50","2","3","85","2"
"1","55","1","50","2","3","77","0"
"3","55","1","50","2","3","86","4"
"2","55","1","50","2","3","86","2"
"2","55","1","50","2","3","87","2"
"1","55","1","50","2","3","78","0"
"3","55","1","50","2","3","87","4"
"5","55","1","50","2","3","96","3"
"4","55","1","50","2","3","79","1"
"2","55","1","50","2","3","88","2"
"3","55","1","50","2","3","88","4"
"1","55","1","50","2","3","79","0"
"4","55","1","50","2","3","80","1"
"5","55","1","50","2","3","97","3"
"2","55","1","50","2","3","89","2"
"3","55","1","50","2","3","89","4"
"1","55","1","50","2","3","80","0"
"5","55","1","50","2","3","98","3"
"4","55","1","50","2","3","81","1"
"2","55","1","50","2","3","90","2"
"3","55","1","50","2","3","90","4"
"5","55","1","50","2","3","99","3"
"2","55","1","50","2","3","91","2"
"3","55","1","50","2","3","91","4"
